match_stats_id,match_id,ace,df,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced
2021-560-103-l,2021-560-103,6,5,95,53,34,20,14,7,12
2021-560-104-l,2021-560-104,7,6,121,73,46,26,18,9,14
2021-560-105-l,2021-560-105,14,8,162,103,77,27,25,7,11
2021-560-106-l,2021-560-106,2,4,136,75,42,26,21,9,20
2021-560-107-l,2021-560-107,3,2,132,77,50,29,20,9,14
2021-560-108-l,2021-560-108,6,7,102,63,44,15,14,6,10
2021-560-109-l,2021-560-109,9,9,157,88,69,39,25,3,6
2021-560-110-l,2021-560-110,24,8,142,80,64,32,21,10,12
2021-560-111-l,2021-560-111,12,7,151,98,66,26,25,2,8
2021-560-112-l,2021-560-112,8,6,132,79,58,25,22,5,10
2021-560-113-l,2021-560-113,15,4,107,78,56,9,15,7,9
2021-560-114-l,2021-560-114,10,4,115,65,40,25,19,3,8
2021-560-115-l,2021-560-115,12,3,120,77,55,24,18,7,10
2021-560-116-l,2021-560-116,17,5,96,54,38,18,15,6,10
2021-560-117-l,2021-560-117,18,15,182,87,70,43,27,13,19
2021-560-118-l,2021-560-118,7,1,129,89,63,16,19,7,12
2021-560-119-l,2021-560-119,6,3,86,49,28,17,15,5,13
2021-560-120-l,2021-560-120,2,5,74,43,29,10,12,6,12
2021-560-121-l,2021-560-121,31,5,157,93,70,37,24,9,11
2021-560-122-l,2021-560-122,12,6,139,95,69,23,23,3,5
2021-560-123-l,2021-560-123,12,8,124,64,45,26,18,12,18
2021-560-124-l,2021-560-124,7,4,162,126,94,15,26,10,13
2021-560-125-l,2021-560-125,2,3,31,16,10,5,6,1,4
2021-560-126-l,2021-560-126,11,10,113,63,42,21,20,5,12
2021-560-127-l,2021-560-127,13,9,103,62,49,17,17,2,4
2021-560-128-l,2021-560-128,13,4,125,71,51,31,22,9,14
2021-560-129-l,2021-560-129,6,4,77,56,30,6,11,4,10
2021-560-130-l,2021-560-130,6,3,123,82,55,19,18,6,11
2021-560-131-l,2021-560-131,1,2,82,51,30,13,13,6,12
2021-560-132-l,2021-560-132,19,3,80,56,46,11,14,0,2
2021-560-133-l,2021-560-133,17,4,151,92,63,32,25,7,12
2021-560-134-l,2021-560-134,26,7,144,99,71,21,21,12,15
2021-560-135-l,2021-560-135,12,9,141,85,63,16,19,10,17
2021-560-136-l,2021-560-136,12,2,66,34,20,16,12,1,6
2021-560-137-l,2021-560-137,6,1,101,56,36,26,17,7,12
2021-560-138-l,2021-560-138,27,14,155,91,75,32,26,4,7
2021-560-139-l,2021-560-139,8,1,168,99,65,42,24,4,5
2021-560-140-l,2021-560-140,10,5,120,73,52,21,20,4,9
2021-560-141-l,2021-560-141,3,3,100,59,42,25,16,3,7
2021-560-142-l,2021-560-142,15,14,133,66,53,24,19,9,15
2021-560-143-l,2021-560-143,15,6,127,75,48,27,22,4,10
2021-560-144-l,2021-560-144,6,3,96,57,40,14,15,4,10
2021-560-145-l,2021-560-145,21,4,165,95,73,40,27,15,19
2021-560-146-l,2021-560-146,16,15,168,95,68,34,24,6,12
2021-560-147-l,2021-560-147,9,3,163,102,71,34,24,7,10
2021-560-148-l,2021-560-148,3,1,67,37,25,12,12,7,12
2021-560-149-l,2021-560-149,13,7,144,80,55,36,24,5,11
2021-560-150-l,2021-560-150,5,3,66,34,22,14,13,1,7
2021-560-151-l,2021-560-151,10,11,175,114,76,28,27,12,19
2021-560-152-l,2021-560-152,26,6,116,76,57,20,16,3,5
2021-560-153-l,2021-560-153,11,4,112,70,40,21,16,11,17
2021-560-154-l,2021-560-154,27,17,175,108,96,31,28,3,3
2021-560-155-l,2021-560-155,7,2,92,61,41,12,15,4,9
2021-560-156-l,2021-560-156,1,9,96,47,33,21,13,6,10
2021-560-157-l,2021-560-157,5,5,111,71,53,22,19,3,7
2021-560-158-l,2021-560-158,6,8,106,68,44,16,15,9,14
2021-560-159-l,2021-560-159,9,4,127,91,63,15,18,12,17
2021-560-160-l,2021-560-160,18,6,138,80,58,25,22,5,12
2021-560-161-l,2021-560-161,12,4,144,88,66,26,24,6,12
2021-560-162-l,2021-560-162,24,9,152,98,77,21,24,11,15
2021-560-163-l,2021-560-163,1,6,105,58,36,20,13,8,13
2021-560-164-l,2021-560-164,5,2,76,50,28,9,12,4,10
2021-560-165-l,2021-560-165,13,7,156,109,68,26,25,10,18
2021-560-166-l,2021-560-166,15,6,181,106,75,34,25,13,19
2021-560-167-l,2021-560-167,15,6,161,90,64,37,24,14,19
2021-560-168-l,2021-560-168,27,5,126,77,61,19,20,5,9
2021-560-169-l,2021-560-169,7,2,100,58,37,17,14,12,17
2021-560-170-l,2021-560-170,12,5,104,59,46,17,16,3,8
2021-560-171-l,2021-560-171,4,4,133,84,50,32,21,5,10
2021-560-172-l,2021-560-172,3,2,64,43,22,9,11,8,15
2021-560-173-l,2021-560-173,40,11,165,101,81,23,28,10,17
2021-560-174-l,2021-560-174,7,1,141,76,52,38,21,11,15
2021-560-175-l,2021-560-175,7,3,140,85,60,25,23,9,14
2021-560-176-l,2021-560-176,20,8,99,56,40,21,16,2,6
2021-560-177-l,2021-560-177,11,5,101,60,43,27,17,2,4
2021-560-178-l,2021-560-178,7,2,91,58,37,15,14,10,15
2021-560-179-l,2021-560-179,3,4,82,43,29,16,14,3,8
2021-560-180-l,2021-560-180,7,6,132,71,45,28,20,9,15
2021-560-181-l,2021-560-181,5,3,84,59,35,5,14,6,14
2021-560-182-l,2021-560-182,5,4,74,44,24,9,12,6,14
2021-560-183-l,2021-560-183,0,3,92,60,37,18,15,5,10
2021-560-184-l,2021-560-184,5,1,132,86,57,22,20,4,10
2021-560-185-l,2021-560-185,16,1,157,115,75,21,24,8,14
2021-560-186-l,2021-560-186,10,2,121,80,61,20,19,8,11
2021-560-187-l,2021-560-187,6,2,113,66,46,23,18,2,7
2021-560-188-l,2021-560-188,4,3,115,75,47,25,19,5,9
2021-560-189-l,2021-560-189,9,6,129,81,56,23,21,6,10
2021-560-190-l,2021-560-190,13,6,138,75,56,28,21,10,15
2021-560-191-l,2021-560-191,24,1,116,79,55,16,15,7,10
2021-560-192-l,2021-560-192,3,7,105,66,42,19,15,6,10
2021-560-193-l,2021-560-193,10,5,111,70,48,26,19,3,6
2021-560-194-l,2021-560-194,5,1,89,52,30,17,13,8,14
2021-560-195-l,2021-560-195,1,3,89,51,29,16,13,10,17
2021-560-196-l,2021-560-196,6,3,143,93,59,22,20,9,16
2021-560-197-l,2021-560-197,8,5,126,67,40,32,21,8,16
2021-560-198-l,2021-560-198,4,5,108,63,45,23,19,4,8
2021-560-199-l,2021-560-199,11,4,139,85,60,36,24,4,8
2021-560-200-l,2021-560-200,11,2,95,68,45,12,15,6,10
2021-560-201-l,2021-560-201,21,10,170,100,73,26,25,7,14
2021-560-202-l,2021-560-202,7,6,95,43,31,27,16,5,10
2021-560-203-l,2021-560-203,7,9,93,63,43,10,15,4,9
2021-560-204-l,2021-560-204,25,7,144,88,68,24,23,9,14
2021-560-205-l,2021-560-205,2,3,161,104,77,23,23,11,15
2021-560-206-l,2021-560-206,10,5,105,53,37,25,17,6,11
2021-560-207-l,2021-560-207,15,5,156,93,69,30,26,7,13
2021-560-208-l,2021-560-208,5,7,118,79,49,13,16,13,21
2021-560-209-l,2021-560-209,4,6,100,58,37,13,14,6,13
2021-560-210-l,2021-560-210,18,14,165,90,74,27,26,10,15
